sku,bin_location,type,store,name,price,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
WL#100673,,configurable,default,"Pants <span>←</span>BacktoViewAll",60.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,pants,"Not Available","Not Specified",Imported,lashowroom,,None,100673_wl_WAY150722RC01_BLACK_800_0.jpg,100673_wl_WAY150722RC01_BLACK_800_0.jpg,100673_wl_WAY150722RC01_BLACK_800_0.jpg,"Low rise skinny pants with side pockets and button trim.","Low rise skinny pants with side pockets and button trim.","Low rise skinny pants with side pockets and button trim.",100673_wl_WAY150722RC01_BLACK_800_0.jpg;100673_wl_WAY150722RC01_BLACK_800_0.jpg;100673_wl_WAY150722RC01_BLACK_800D_0.jpg;100673_wl_WAY150722RC01_BLACK_800D_1.jpg;100673_wl_WAY150722RC01_BLACK_800D_3.jpg;100673_wl_WAY150722RC01_BLACK_800D_4.jpg;,10,15,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1329,
WL#100674,,configurable,default,"SKIRTS Skirts",54.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,skirts,"Not Available","Not Specified",Imported,lashowroom,,None,100674_wl_WAY150721LG03_Pink_800_0.jpg,100674_wl_WAY150721LG03_Pink_800_0.jpg,100674_wl_WAY150721LG03_Pink_800_0.jpg,"Denim, mini skirt with pockets.","Denim, mini skirt with pockets.","Denim, mini skirt with pockets.",100674_wl_WAY150721LG03_Pink_800_0.jpg;100674_wl_WAY150721LG03_Pink_800_0.jpg;100674_wl_WAY150721LG03_Pink_800D_0.jpg;100674_wl_WAY150721LG03_Pink_800D_1.jpg;100674_wl_WAY150721LG03_Pink_800D_3.jpg;100674_wl_WAY150721LG03_Pink_800D_4.jpg;,16,10,5,C,Default,leggingscolor,," 12                            ",https://www.lashowroom.com/wholesalefashionistas/item/1327,
WL#100675,,configurable,default,"Pants <span>←</span>BacktoViewAll",60.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,pants,"Not Available","Not Specified",Imported,lashowroom,,None,100675_wl_WAY150721LG04_Brown_800_0.jpg,100675_wl_WAY150721LG04_Brown_800_0.jpg,100675_wl_WAY150721LG04_Brown_800_0.jpg,"Solid color, full length, cargo pants with pockets and ties.","Solid color, full length, cargo pants with pockets and ties.","Solid color, full length, cargo pants with pockets and ties.",100675_wl_WAY150721LG04_Brown_800_0.jpg;100675_wl_WAY150721LG04_Brown_800_0.jpg;100675_wl_WAY150721LG04_Brown_800D_0.jpg;100675_wl_WAY150721LG04_Brown_800D_1.jpg;100675_wl_WAY150721LG04_Brown_800D_3.jpg;,10,15,3,C,Default,leggingscolor,," 12                            ",https://www.lashowroom.com/wholesalefashionistas/item/1328,
WL#100676,,configurable,default,"Pants <span>←</span>BacktoViewAll",78.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,pants,"Not Available","Not Specified",Imported,lashowroom,,None,100676_wl_WAY150721LG01_Multi_800_0.jpg,100676_wl_WAY150721LG01_Multi_800_0.jpg,100676_wl_WAY150721LG01_Multi_800_0.jpg,"Camo print, full length, wide leg pants with cargo pockets and belt.","Camo print, full length, wide leg pants with cargo pockets and belt.","Camo print, full length, wide leg pants with cargo pockets and belt.",100676_wl_WAY150721LG01_Multi_800_0.jpg;100676_wl_WAY150721LG01_Multi_800_0.jpg;100676_wl_WAY150721LG01_Multi_800D_0.jpg;100676_wl_WAY150721LG01_Multi_800D_1.jpg;100676_wl_WAY150721LG01_Multi_800D_3.jpg;,10,15,3,C,Default,leggingscolor,," 12                            ",https://www.lashowroom.com/wholesalefashionistas/item/1325,
WL#100677,,configurable,default,"Pants <span>←</span>BacktoViewAll",54.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,pants,"Not Available","Not Specified",Imported,lashowroom,,None,100677_wl_WAY150721LG02_Multi_800_0.jpg,100677_wl_WAY150721LG02_Multi_800_0.jpg,100677_wl_WAY150721LG02_Multi_800_0.jpg,"Floral print, high waisted, capri pants with pockets.","Floral print, high waisted, capri pants with pockets.","Floral print, high waisted, capri pants with pockets.",100677_wl_WAY150721LG02_Multi_800_0.jpg;100677_wl_WAY150721LG02_Multi_800_0.jpg;100677_wl_WAY150721LG02_Multi_800D_0.jpg;100677_wl_WAY150721LG02_Multi_800D_1.jpg;100677_wl_WAY150721LG02_Multi_800D_3.jpg;100677_wl_WAY150721LG02_Multi_800D_4.jpg;,10,15,3,C,Default,leggingscolor,," 12                            ",https://www.lashowroom.com/wholesalefashionistas/item/1326,
WL#100678,,configurable,default,"LEGGINGS Printed",25.00,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100678_wl_WAY150722RC03_STRIPES_800D_1.jpg,100678_wl_WAY150722RC03_STRIPES_800D_1.jpg,100678_wl_WAY150722RC03_STRIPES_800D_1.jpg,"Striped leggings with elastic waist.","Striped leggings with elastic waist.","Striped leggings with elastic waist.",100678_wl_WAY150722RC03_STRIPES_800D_1.jpg;100678_wl_WAY150722RC03_STRIPES_800_0.jpg;100678_wl_WAY150722RC03_STRIPES_800D_0.jpg;100678_wl_WAY150722RC03_STRIPES_800D_1.jpg;100678_wl_WAY150722RC03_STRIPES_800D_3.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1331,
WL#100679#ORANGE,,simple,default,"ORANGE LEGGINGS",2.50,2,0,1,1,"*This model is wearing size <span>S</span>.<br>
				
										*Measurements are <span>32Bx25x35</span> and height is <span>5' 7"" (170.2 cm)</span>.",1,"""Not Visible Individually""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,"Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.",100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800D_3.jpg;100679_wl_WAY150722RC02_WHITE_800_1.jpg;100679_wl_WAY150722RC02_BLUE_800_2.jpg;,13,10,3,C,Default,leggingscolor," ONESIZE<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1330,ORANGE
WL#100679#WHITE,,simple,default,"WHITE LEGGINGS",2.50,2,0,1,1,"*This model is wearing size <span>S</span>.<br>
				
										*Measurements are <span>32Bx25x35</span> and height is <span>5' 7"" (170.2 cm)</span>.",1,"""Not Visible Individually""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,"Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.",100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800D_3.jpg;100679_wl_WAY150722RC02_WHITE_800_1.jpg;100679_wl_WAY150722RC02_BLUE_800_2.jpg;,13,10,3,C,Default,leggingscolor," ONESIZE<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1330,WHITE
WL#100679#BLUE,,simple,default,"BLUE LEGGINGS",2.50,2,0,1,1,"*This model is wearing size <span>S</span>.<br>
				
										*Measurements are <span>32Bx25x35</span> and height is <span>5' 7"" (170.2 cm)</span>.",1,"""Not Visible Individually""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,"Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.",100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800D_3.jpg;100679_wl_WAY150722RC02_WHITE_800_1.jpg;100679_wl_WAY150722RC02_BLUE_800_2.jpg;,13,10,3,C,Default,leggingscolor," ONESIZE<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1330,BLUE
WL#100679,,configurable,default,"LEGGINGS Printed",25.00,2,0,1,1,"*This model is wearing size <span>S</span>.<br>
				
										*Measurements are <span>32Bx25x35</span> and height is <span>5' 7"" (170.2 cm)</span>.",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,100679_wl_WAY150722RC02_ORANGE_800D_1.jpg,"Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.","Polka dot leggings with elastic waist.",100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_0.jpg;100679_wl_WAY150722RC02_ORANGE_800D_1.jpg;100679_wl_WAY150722RC02_ORANGE_800D_3.jpg;100679_wl_WAY150722RC02_WHITE_800_1.jpg;100679_wl_WAY150722RC02_BLUE_800_2.jpg;,13,10,3,C,Default,leggingscolor," ONESIZE<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1330,
