category,subCategory,category_str,price,weight,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,prod_url
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-bohemian-print-ankle-leggings-p-18058.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18056.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-pattern-print-ankle-leggings-p-18055.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-bohemian-print-ankle-leggings-p-18054.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-animal-print-ankle-leggings-p-18053.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-print-ankle-leggings-p-18052.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18051.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-print-ankle-leggings-p-18050.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-geo-print-ankle-leggings-p-18049.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-pattern-print-ankle-leggings-p-18048.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-print-ankle-leggings-p-18047.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18046.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-print-ankle-leggings-p-18045.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18035.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18034.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18033.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18032.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18031.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17399.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17398.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17397.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17396.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17395.html?cPath=1067
leggings,capri,leggings/capri,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-capri-with-mesh-accent-p-17394.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-17966.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-17965.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/denim-capri-leggings-with-zipper-detail-p-17964.html?cPath=1067
kids,,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/kids-premium-stretch-denim-back-pocket-leggings-p-15120.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-diamond-print-ankle-leggings-p-7948.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-print-ankle-leggings-p-7968.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-diamond-print-ankle-leggings-p-8213.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/seamless-capri-27-leggings-p-1025.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-17754.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-17753.html?cPath=1067
